,name,city,price per night(in yen),distance from city centre(in km),overall score,rating band,atmosphere,cleanliness,facilities,location,security,staff,valueformoney,lon,lat
192,Jam Hostel Kyoto Gion,Kyoto,1500,0.9,7.7,Very Good,7.0,8.0,7.0,9.4,8.0,6.9,7.9,135.772379,35.004919
193,Japanize Guest House,Tokyo,1900,8.1,7.6,Very Good,7.0,6.0,7.7,8.7,7.7,8.0,8.3,139.7816602,35.6925343
194,JGH Tokyo,Tokyo,1600,13.2,8.4,Fabulous,8.1,8.0,8.1,7.1,8.8,9.8,8.9,139.708425,35.8072664
195,Jimbocho Sakura Hotel,Tokyo,2200,5.9,9.4,Superb,9.0,9.5,10.0,9.0,9.0,9.5,10.0,139.756455,35.694959
196,Jiyujin,Kyoto,2600,2.0,9.7,Superb,9.0,10.0,9.8,9.5,10.0,9.7,9.7,135.76116,34.9949965
197,Juyoh Hotel,Tokyo,2900,10.7,8.3,Fabulous,7.6,8.4,8.4,7.1,8.9,8.9,8.7,139.8007803,35.7267106
198,Kaisu Hostel,Tokyo,3900,4.4,9.4,Superb,9.1,9.7,9.3,9.3,9.6,9.5,9.2,139.734537,35.669916
199,"Kaneyoshi Ryokan, Namba Dotombori",Osaka,6500,4.2,9.4,Superb,10.0,9.0,9.0,10.0,9.0,10.0,9.0,135.505474,34.66926
200,Ken's House,Osaka,2000,4.7,8.7,Fabulous,7.5,9.0,9.0,9.5,8.0,9.0,9.0,,
201,Khaosan Kyoto Guest House,Kyoto,2000,1.1,8.9,Fabulous,8.2,8.8,8.5,9.6,9.1,9.0,8.9,,
202,Khaosan Tokyo Kabuki,Tokyo,3000,9.7,9.2,Superb,8.8,8.8,8.8,9.8,9.5,9.5,9.0,139.795251,35.711436
203,Khaosan Tokyo Laboratory,Tokyo,2600,9.3,9.1,Superb,7.9,9.3,8.8,9.3,9.4,9.7,9.3,139.791328,35.711861
204,Khaosan Tokyo Origami,Tokyo,2500,10.0,9.5,Superb,8.9,9.7,9.6,9.4,9.7,9.7,9.4,139.797381,35.71634
205,Khaosan Tokyo Samurai,Tokyo,2500,9.5,9.2,Superb,8.0,9.3,9.3,9.4,9.5,9.4,9.4,139.792325,35.714887
206,Khaosan World Asakusa RYOKAN & HOSTEL,Tokyo,2500,9.5,8.8,Fabulous,8.5,8.7,8.5,8.9,9.0,9.2,8.6,139.791771,35.714595
207,Khaosan World Namba,Osaka,2100,4.5,8.5,Fabulous,7.4,8.4,8.4,9.1,8.9,9.0,8.4,135.49717,34.666165
208,Khaosan World Ryogoku Hostel,Tokyo,2300,9.5,9.0,Superb,8.2,9.1,8.9,9.6,9.1,9.3,8.4,139.7967617,35.6943259
209,Khaosan World Tennoji Hostel,Osaka,2300,6.6,9.0,Superb,8.3,9.7,9.7,9.3,8.7,9.3,8.0,135.5183093,34.64884
210,Kia Ora Budgetstay,Fukuoka-City,2600,2.0,9.0,Superb,8.0,8.8,8.8,9.2,9.3,9.8,8.8,130.4225942,33.5951129
211,Kintetsu Friendly Hostel -Osaka Tennoji Park-,Osaka,2000,6.5,9.0,Superb,7.8,9.5,9.1,9.4,9.3,9.1,9.0,135.5122677,34.6485086
214,Kyoto Be Open Hostel,Kyoto,3400,3.8,9.0,Superb,8.7,9.3,8.7,9.3,8.7,9.3,9.3,135.764191,34.977498
215,Kyoto Guesthouse Roujiya,Kyoto,3500,2.1,8.1,Fabulous,7.8,9.0,7.4,8.0,8.6,8.8,7.4,135.74531,35.009207
216,Kyoto Hana Hostel,Kyoto,1800,2.5,8.9,Fabulous,8.1,9.1,8.3,9.8,8.7,9.2,8.8,135.760508,34.9897078
218,Kyoto Morris Hostel,Kyoto,2800,0.5,9.7,Superb,9.4,9.9,9.9,9.3,9.8,9.8,9.8,135.7678365,35.0156844
219,Kyoto Station Base,Kyoto,2500,3.7,8.9,Fabulous,8.7,9.3,8.7,8.0,8.7,10.0,8.7,135.761469,34.9788089
220,Kyoto Tsukiusagi,Kyoto,3000,8.7,7.9,Very Good,6.5,9.5,8.0,7.0,9.0,8.0,7.5,135.805378,34.940169
221,Kyoto UTANO Youth Hostel,Kyoto,3400,6.4,9.3,Superb,9.0,10.0,9.5,7.0,10.0,10.0,9.5,135.699365,35.0269847
222,Kyoubashi Ryokan,Hiroshima,3400,1.8,8.6,Fabulous,6.0,10.0,6.0,10.0,10.0,8.0,10.0,132.4718215,34.3938412
223,Len Kyoto,Kyoto,2500,1.4,9.6,Superb,9.6,9.6,9.7,9.7,9.6,9.8,9.5,135.7673713,34.998732
224,Little Japan,Tokyo,2100,8.5,9.2,Superb,8.7,9.3,9.3,8.7,9.2,9.5,9.5,,
225,Lore Hostel Dontonbori,Osaka,2000,4.3,8.5,Fabulous,7.1,7.7,8.6,9.7,9.1,8.6,8.9,135.503853,34.667931
226,Lucky's,Osaka,2500,3.2,7.7,Very Good,2.0,10.0,8.0,8.0,10.0,10.0,6.0,,
227,Lyuro Tokyo Kiyosumi -The Share Hotels-,Tokyo,3200,9.1,9.4,Superb,9.3,10.0,10.0,7.3,10.0,9.3,10.0,139.7920658,35.6812172
228,montan HAKATA,Fukuoka-City,3000,2.4,9.4,Superb,9.3,9.8,9.7,8.8,9.5,9.5,9.5,130.427977,33.588725
229,Mosaic Hostel Kyoto,Kyoto,2500,3.7,9.6,Superb,9.5,9.7,9.7,9.3,9.7,9.7,9.5,135.7552361,34.9803659
231,Music Uni Street Backpackers Hostel,Osaka,3000,6.0,8.9,Fabulous,9.0,9.0,9.0,8.0,8.0,10.0,9.0,135.4673702,34.7519746
232,MyCUBE by MYSTAYS Asakusa-Kuramae,Tokyo,3200,9.2,8.8,Fabulous,8.0,9.5,9.0,8.0,9.0,9.0,9.0,139.7920033,35.7037857
233,Nadeshiko Hotel Shibuya (Female Only),Tokyo,5500,3.8,9.2,Superb,8.7,9.7,9.7,8.7,9.7,9.3,8.7,139.692988,35.6550972
234,Nagomi-Ryokan Yuu,Kyoto,3100,2.2,5.1,Rating,6.0,6.0,2.0,8.0,6.0,2.0,6.0,135.755793,34.99419
235,Nihonbashi Muromachi BAY HOTEL,Tokyo,4000,7.6,9.2,Superb,9.0,9.7,8.7,8.3,10.0,9.3,9.3,139.7756795,35.6872974
236,Norishico Auto Guesthouse,Fukuoka-City,2800,16.1,10.0,Superb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,130.528032,33.49096
237,Nui. Hostel & Bar Lounge,Tokyo,2500,9.3,9.3,Superb,9.5,9.6,9.4,8.6,9.3,9.6,9.4,139.7933951,35.7038859
238,O-yado Sato,Kyoto,3900,2.3,9.1,Superb,9.0,10.0,9.0,8.0,10.0,9.0,9.0,135.75571,34.994214
239,Oak Hostel Zen,Tokyo,2200,8.8,9.0,Superb,8.2,8.9,8.9,9.1,9.6,9.3,8.9,139.7809311,35.7219034
240,Oak Hotel Edo,Tokyo,2200,9.7,7.6,Very Good,4.0,10.0,8.0,8.0,8.0,8.0,7.0,139.798931,35.6879156
241,Oakhostel Cabin,Tokyo,2100,8.6,9.0,Superb,8.1,9.5,9.1,8.4,9.4,9.2,9.2,139.7859882,35.678055
242,Oakhostel Fuji,Tokyo,2000,10.0,9.0,Superb,8.2,9.2,8.9,8.9,9.4,9.1,9.2,139.8009084,35.7069254
243,Oakhostel Sakura,Tokyo,1800,11.3,9.2,Superb,8.0,10.0,9.3,9.3,9.7,9.0,9.0,139.8152216,35.70739
244,Obi Hostel,Tokyo,2000,8.2,9.1,Superb,8.4,9.2,9.0,9.0,9.3,9.4,9.1,139.7819046,35.6920482
245,Okara Guesthouse,Kyoto,1900,2.4,9.4,Superb,9.2,9.8,9.4,9.2,9.4,9.4,9.4,135.7550308,34.9925923
246,OKI's Inn,Kyoto,2500,1.1,9.4,Superb,8.8,9.6,9.2,10.0,8.8,10.0,9.2,135.7789591,35.0086338
247,Omotenashi Hostel Miyajima,Hiroshima,2500,13.5,9.1,Superb,8.8,9.7,9.5,7.9,9.2,9.5,9.3,132.319971,34.3369812
248,Osaka Fuku Hostel Nagomi,Osaka,3000,4.4,9.3,Superb,8.7,9.6,9.0,9.8,8.9,9.6,9.2,135.50642,34.667318
249,Osaka Fuku Hostel Namba,Osaka,3000,4.5,8.9,Fabulous,8.5,9.0,8.3,9.7,8.8,9.6,8.4,135.5041027,34.6665276
250,Osaka Guest House Midoriya,Osaka,2800,5.1,9.7,Superb,9.7,10.0,9.6,9.4,9.7,10.0,9.7,135.5485836,34.6817305
251,Osaka Guesthouse Hive,Osaka,2300,1.3,8.3,Fabulous,7.6,8.6,8.0,8.5,8.6,8.5,8.0,135.489407,34.7021661
252,Osaka GuestHouse KOMA,Osaka,1500,4.4,8.3,Fabulous,8.0,7.5,7.8,9.1,7.9,9.1,8.8,135.4895197,34.6687377
253,Osaka Guesthouse Nest,Osaka,1500,6.7,8.5,Fabulous,7.8,9.0,8.2,8.7,8.3,9.2,8.0,135.52325,34.6494472
254,Osaka Guesthouse Sakura,Osaka,2500,0.9,8.8,Fabulous,8.9,8.9,8.4,8.3,8.5,9.4,9.2,135.505511,34.69898
255,Osaka Guesthouse SUN,Osaka,2300,4.3,9.1,Superb,8.8,9.0,8.5,9.5,8.8,9.5,9.4,135.4918195,34.6693182
256,Osaka Hana Hostel,Osaka,2600,3.7,9.5,Superb,8.5,9.6,9.6,9.8,9.5,9.8,9.6,135.498216,34.6731483
257,Osaka Hostel Kai,Osaka,2600,2.8,9.1,Superb,8.9,9.1,8.9,8.6,8.9,9.7,9.7,135.4764591,34.6931733
258,Osaka International Youth Hostel,Osaka,2900,20.3,9.4,Superb,10.0,10.0,10.0,6.0,10.0,10.0,10.0,135.433003,34.532974
259,Osaka Namba Hostel MIYABI,Osaka,2000,5.0,8.9,Fabulous,7.6,9.1,8.8,9.3,9.0,9.2,9.4,135.4967377,34.6620588
260,Oshiteruya,Osaka,2800,6.5,7.3,Very Good,6.7,8.0,6.7,7.3,6.7,8.0,8.0,135.549222,34.663197
261,Peace House Abeno,Osaka,1200,6.9,9.0,Superb,9.0,9.1,9.1,8.2,9.1,9.1,9.3,135.5072578,34.6447906
262,Peace House Sachi,Osaka,1200,6.5,8.6,Fabulous,8.8,8.2,7.9,8.9,8.4,9.2,8.8,135.5042885,34.6484984
263,Peace House Sakura,Kyoto,1300,1.8,6.3,Good,6.8,5.8,5.3,6.5,6.3,6.8,7.0,135.773323,34.995831
264,Peace House Showa,Osaka,1200,6.8,7.5,Very Good,8.0,6.4,5.6,8.0,6.4,9.6,8.4,135.5065439,34.6457488
265,Peace House Suzunami,Osaka,1200,6.4,8.2,Fabulous,8.4,7.1,7.9,8.7,8.0,8.9,8.2,135.5122777,34.6493107
266,Picnic Hostel Osaka,Osaka,2000,4.4,9.4,Superb,8.6,9.8,9.4,9.5,9.5,9.5,9.6,135.487358,34.6692926
267,Piece Hostel Kyoto,Kyoto,2700,3.2,9.7,Superb,9.2,9.9,9.8,9.8,9.9,9.9,9.6,135.7621209,34.9836157
268,Piece Hostel Sanjo,Kyoto,2900,0.5,9.6,Superb,9.1,9.8,9.7,9.6,9.8,9.9,9.6,135.764655,35.008028
269,Planetyze Hostel,Tokyo,2400,8.5,9.3,Superb,8.6,9.5,9.0,9.3,9.6,9.6,9.3,139.786004,35.694492
270,Poly Hostel Osaka,Osaka,3800,5.9,9.4,Superb,8.0,10.0,10.0,8.0,10.0,10.0,10.0,,
271,Prime Inn Shinsaibashi,Osaka,2600,3.3,9.2,Superb,8.7,9.3,8.7,9.3,10.0,9.3,9.3,135.5074622,34.677238
272,Qoo Ebisucho,Osaka,2000,5.5,5.7,Rating,6.0,8.0,6.0,6.0,2.0,8.0,4.0,135.5053576,34.657003
273,Quality Hostel K's House Tokyo Oasis,Tokyo,3000,9.6,9.0,Superb,8.2,9.6,8.4,9.1,9.5,9.3,8.7,139.7935305,35.715796
274,R.Star Hostel Kyoto,Kyoto,2400,1.8,9.6,Superb,8.7,10.0,9.7,9.3,9.8,9.9,9.8,135.758374,34.997989
275,Retrometro Backpackers,Tokyo,3000,9.2,9.4,Superb,9.4,9.4,9.0,9.4,9.5,9.8,9.6,139.7893615,35.7131573
276,RokuRoku,Kyoto,2500,2.4,9.7,Superb,10.0,10.0,10.0,9.0,10.0,9.0,10.0,,
277,Roots Hostel,Osaka,3000,3.1,8.0,Fabulous,7.8,7.9,7.6,7.5,8.0,9.1,8.1,,
278,RYOKAN＆HOSTEL WASABI Nippori,Tokyo,2000,9.1,8.7,Fabulous,8.2,8.6,8.9,8.5,8.8,8.9,8.9,139.777723,35.732782
279,Sakai Guest House,Osaka,2000,14.7,6.6,Good,7.0,6.0,6.0,6.0,7.0,8.0,6.0,,
280,Sakura Guest House,Takayama,2700,4.3,4.9,Rating,4.0,4.0,4.0,8.0,4.0,6.0,4.0,137.2414859,36.135716
281,Sakura Hostel Asakusa,Tokyo,2400,9.8,8.6,Fabulous,7.7,8.6,8.4,8.9,9.0,9.0,8.7,139.7948263,35.7160224
282,Sakura Hotel Ikebukuro,Tokyo,2300,5.1,8.3,Fabulous,7.3,8.2,7.9,9.0,7.8,9.1,8.8,139.7088026,35.7336139
283,Sakura Hotel Nippori,Tokyo,1900,7.8,9.1,Superb,8.6,9.4,8.9,9.1,9.7,9.4,8.6,139.764175,35.7281692
284,Sakura La An,Osaka,2900,1.2,9.6,Superb,9.3,9.8,9.5,9.2,9.6,9.8,9.7,135.5123668,34.6997902
285,Santiago Guesthouse Hiroshima,Hiroshima,2000,0.7,8.9,Fabulous,8.5,8.9,8.7,9.6,9.0,8.6,8.8,132.4594088,34.3903664
286,Santiago Guesthouse Kyoto,Kyoto,1300,2.0,8.8,Fabulous,8.4,9.3,8.7,8.5,8.7,9.2,8.8,135.775802,34.994416
287,Senba Hostel,Osaka,3500,3.2,9.1,Superb,9.0,9.5,9.0,9.0,9.5,9.0,8.5,135.506513,34.678133
288,Sheena and Ippei,Tokyo,3700,4.2,9.1,Superb,10.0,10.0,8.0,8.0,8.0,10.0,10.0,139.6930044,35.7273553
289,Shell Nell namba,Osaka,3200,4.8,8.3,Fabulous,6.0,8.0,9.0,9.0,9.0,9.0,8.0,135.506291,34.663375
290,Shibamata FU-TEN Bed and Local,Tokyo,3000,18.5,4.9,Rating,2.0,4.0,2.0,2.0,10.0,10.0,4.0,139.8778804,35.7597827
291,Shin-Osaka Tomato Guest House,Osaka,1500,1.9,9.0,Superb,7.4,9.6,9.1,8.4,9.3,9.6,9.4,135.495927,34.722974
292,Shin-Osaka Youth Hostel,Osaka,3200,2.8,8.9,Fabulous,7.0,10.0,9.0,9.0,10.0,8.0,9.0,135.5037061,34.7321448
293,Small World Guesthouse in Kyoto,Kyoto,1600,3.9,8.1,Fabulous,8.5,8.9,8.0,7.8,6.9,7.1,9.1,135.7512884,35.0435832
294,Space Hostel Tokyo,Tokyo,2200,9.1,9.1,Superb,8.6,9.6,9.0,8.7,9.2,9.4,9.2,139.785652,35.718662
295,Sparkling Dolphins Inn Kyoto,Kyoto,3000,3.6,6.2,Good,5.3,6.7,5.7,7.0,5.7,7.0,6.0,135.7628498,34.9797912
296,Stayto (former: Oak Hotel),Tokyo,2500,8.7,9.0,Superb,8.3,9.1,8.5,9.2,9.4,9.5,8.8,139.78462,35.711382
297,Suzuki Guesthouse,Kyoto,1600,2.2,9.1,Superb,8.6,9.6,8.7,8.4,9.8,9.6,8.9,135.7451539,35.0176229
298,Tabetoma Nijo Castle,Kyoto,1500,1.3,8.8,Fabulous,8.5,9.3,8.6,8.9,9.0,9.0,8.7,135.748218,35.0142299
299,Tabicolle Backpackers,Fukuoka-City,2500,2.3,10.0,Superb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,130.4248084,33.5821253
300,Tadaima Japan Shinjuku Ryokan,Tokyo,7600,2.8,8.4,Fabulous,8.0,9.0,9.0,8.0,8.0,9.0,8.0,139.7229976,35.6897213
301,Talbot,Kyoto,2000,29.5,10.0,Superb,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,
302,Tanaka Gokurakudo Guest House,Kyoto,2000,2.7,8.7,Fabulous,8.2,9.1,8.0,9.3,8.7,8.9,8.4,135.7583091,34.98891
303,Tani9 Backpackers Osaka,Osaka,2000,4.5,9.0,Superb,8.8,8.9,8.6,9.5,9.2,9.5,8.7,135.513636,34.6670278
304,The Blend Inn,Osaka,2300,4.5,9.6,Superb,9.8,9.9,9.5,8.5,10.0,9.9,9.6,135.460685,34.684522
306,The Evergreen Hostel,Hiroshima,2000,1.5,9.0,Superb,8.6,9.1,8.7,9.2,8.9,9.3,9.0,132.449763,34.3978868
307,THE LIFE hostel & bar lounge,Fukuoka-City,2400,0.9,9.1,Superb,8.9,9.4,9.2,9.3,8.8,9.2,8.9,130.4113419,33.5912939
308,The Lower East Nine Hostel,Kyoto,3000,3.7,9.4,Superb,8.8,9.8,9.6,8.9,9.7,9.6,9.2,135.7600257,34.9793866
309,The Millennials Kyoto,Kyoto,2700,0.5,9.6,Superb,9.3,9.8,9.8,9.9,9.6,9.4,9.5,135.7688947,35.0075126
310,The Millennials Shibuya,Tokyo,6300,3.1,9.3,Superb,8.9,10.0,9.3,9.8,9.5,8.9,8.7,139.6996954,35.6621966
311,THE NEXT DOOR lower east nine hostel,Kyoto,3000,4.0,9.5,Superb,8.6,9.7,9.9,9.0,9.6,9.8,9.7,135.7500613,34.9791577
312,The Pax Hostel/Records/More,Osaka,2300,6.0,9.5,Superb,9.5,9.4,9.3,9.4,9.4,9.9,9.5,135.5054521,34.6527146
313,The Prime Pod Ginza Tokyo,Tokyo,3700,7.2,9.0,Superb,7.9,9.2,9.2,9.5,9.6,9.0,8.4,139.7670874,35.6692691
314,The Prime Pod Kyoto,Kyoto,2500,0.4,9.8,Superb,9.4,10.0,10.0,9.6,9.9,9.9,9.6,135.7702541,35.0090836
315,Toco Tokyo Heritage Hostel,Tokyo,3000,9.1,9.2,Superb,10.0,10.0,7.3,8.7,8.7,10.0,10.0,139.7839281,35.7220369
316,Tokyo Central Youth Hostel,Tokyo,3200,4.8,8.0,Fabulous,6.0,10.0,10.0,8.0,8.0,8.0,6.0,139.743522,35.700821
317,Tokyo Hostel ENISHI,Tokyo,3300,4.7,8.6,Fabulous,7.5,9.0,9.0,8.5,9.0,9.0,8.5,139.6794363,35.6482038
318,Tokyo Hostel Fuji,Tokyo,2000,1.6,9.2,Superb,8.8,9.3,9.0,9.0,9.4,9.8,9.2,139.674336,35.692835
319,Tokyo House Inn,Tokyo,3800,1.5,6.8,Good,6.0,6.7,6.7,8.0,6.0,7.3,6.7,139.7038187,35.6990062
320,Tokyo Hutte,Tokyo,3000,11.3,7.1,Very Good,8.0,6.0,4.0,8.0,10.0,8.0,6.0,139.8150041,35.7088828
321,Tokyo Sumidagawa Youth Hostel,Tokyo,2500,8.9,7.7,Very Good,6.5,6.0,8.0,8.0,9.0,9.0,7.5,139.7892234,35.6991309
322,TOKYO-W-INN Asakusa,Tokyo,2500,9.3,8.9,Fabulous,8.2,9.2,8.9,8.9,8.8,9.4,9.2,139.7923088,35.7083161
323,Tomato Kyoto Station,Kyoto,1500,3.1,8.3,Fabulous,8.3,8.3,8.0,7.3,8.3,9.3,8.7,135.751832,34.986881
324,Tonagi Hostel × Cafe,Fukuoka-City,2500,2.0,8.9,Fabulous,9.0,9.0,9.3,7.3,9.3,9.0,9.3,130.41452,33.604248
325,Train Hostel HOKUTOSEI,Tokyo,2100,8.3,8.7,Fabulous,7.4,9.3,9.0,8.7,8.8,9.2,8.8,139.7828434,35.694048
326,Turn Table Hostel,Tokyo,5400,3.8,9.6,Superb,9.4,9.9,9.7,9.7,9.6,9.6,9.3,139.6929157,35.6553861
327,Umbrella House Osaka,Osaka,2300,8.5,6.8,Good,6.0,8.0,6.6,5.4,7.4,7.4,6.9,135.546582,34.639764
328,Uno Ueno,Tokyo,1500,8.2,8.8,Fabulous,7.8,9.3,8.5,8.9,9.2,9.3,8.6,139.7791708,35.7087463
329,Unplan Kagurazaka,Tokyo,3200,4.0,9.5,Superb,9.2,9.9,9.6,8.8,9.6,9.8,9.6,139.7313228,35.7050654
330,Very Hostel Namba,Osaka,2500,4.9,9.0,Superb,8.8,9.2,9.2,8.8,8.4,9.2,9.2,135.4888061,34.6636522
331,WeBase HAKATA,Fukuoka-City,3000,0.9,9.5,Superb,9.0,9.8,9.7,9.4,9.7,9.7,9.3,130.408271,33.595674
332,WIRED HOTEL Asakusa,Tokyo,5200,9.7,9.5,Superb,8.9,10.0,9.9,9.1,9.7,9.6,9.5,139.793905,35.7158533
333,Wise Owl Hostels Shibuya,Tokyo,2500,4.0,9.1,Superb,8.9,9.6,9.1,8.4,9.6,9.5,8.8,139.6897743,35.6537001
334,Wise Owl Hostels Tokyo,Tokyo,2000,7.9,9.1,Superb,8.4,9.5,9.1,9.1,9.4,9.3,9.1,139.7772748,35.6747807
335,With B,Tokyo,4000,8.6,9.1,Superb,8.5,9.5,9.0,8.0,9.0,9.5,10.0,,
337,YADOYA Guesthouse Green,Tokyo,2300,2.6,8.2,Fabulous,7.9,7.7,6.9,8.9,8.9,8.8,8.3,139.6681253,35.7029083
338,YADOYA Guesthouse Orange,Tokyo,2000,2.9,8.9,Fabulous,8.6,9.0,7.8,9.4,9.0,9.2,9.4,139.6676947,35.7065126
339,YAWP! backpackers,Tokyo,2500,17.5,9.3,Superb,9.5,9.3,9.4,8.5,9.5,9.2,9.6,139.8691966,35.7528846
340,You En Me House,Kyoto,2800,2.4,8.0,Fabulous,7.3,8.0,6.7,8.0,8.7,10.0,7.3,135.749063,34.997376
341,Zabutton Hostel,Tokyo,2900,5.9,8.6,Fabulous,8.1,8.5,7.8,9.0,8.9,9.5,8.5,139.742116,35.65547
